Date,Close,High,Low,Open,Volume
2021-02-26,172.9872589111328,175.93663261612383,172.74789045393985,175.79129534124766,3889308
2021-03-01,176.29571533203125,177.9456486225495,174.13283177129534,174.67996765393104,2690696
2021-03-02,176.60345458984375,177.80885025839123,175.40661224387281,176.76588467683206,2652712
2021-03-03,176.97103881835938,179.05698364644329,176.2101945425125,176.2101945425125,2871490
2021-03-04,173.4916229248047,177.85157460900842,171.41423157591692,177.2616999327018,2969527
2021-03-05,176.60345458984375,177.35575944740484,172.49997732323627,174.8509230829508,3032126
2021-03-08,177.5609588623047,181.6216978918204,177.1335141055483,177.42417487930302,3412070
2021-03-09,177.48397827148438,179.4758781149952,176.5265044584349,178.66372773410848,2804541
2021-03-10,182.014892578125,182.32265991437748,177.51817055858874,177.54381668324925,4596783
2021-03-11,181.66441345214844,183.59646793294806,180.5530627637387,181.05744585096025,3140242
2021-03-12,183.2716064453125,184.1350352600889,182.26282651387695,182.339764892996,1951391
2021-03-15,184.82752990722656,185.5114359171483,181.8354030529146,182.6988458087121,2717221
2021-03-16,181.0745086669922,185.05830812864212,180.73255573029476,184.96426311286285,2734940
2021-03-17,182.1175079345703,183.31435026444046,181.1856663574035,182.51930648534753,2896742
2021-03-18,183.81871032714844,187.22117451956746,182.24571577034456,182.51928365161285,4555828
2021-03-19,182.014892578125,184.30600635587822,181.38227894294815,184.11793016159234,10727559
2021-03-22,181.34814453125,181.8183421057489,179.12542884903755,180.47616213975806,3508197
2021-03-23,178.32177734375,181.53616562551608,177.70625647788685,179.88623255463537,2030542
2021-03-24,181.42501831054688,183.84436271746935,179.43313238288002,179.49296411368212,2718388
2021-03-25,182.84414672851562,182.98948400388574,178.03111760185587,181.41648930265364,2352768
2021-03-26,186.81939697265625,186.95618092863205,183.0664261064914,183.90422264672034,2694940
2021-03-29,187.1186065673828,187.79397300887143,185.63110357200543,186.06708771597602,3250798
2021-03-30,186.44325256347656,187.48621816231167,185.55416373160207,187.22120356132578,2597434
2021-03-31,185.5712432861328,187.36651349290503,185.29767540236588,186.52871703899106,2599450
2021-04-01,185.3404083251953,186.34063481267444,184.22050454264868,186.3320953318075,2238286
2021-04-05,187.45201110839844,188.1701164457277,186.68259968095683,186.9732742168456,2396481
2021-04-06,187.3836212158203,188.97372255654113,186.80229979677273,187.70848137361958,1905556
2021-04-07,186.79373168945312,187.97348107846958,185.75076624238469,186.55436325112558,1821949
2021-04-08,187.95643615722656,188.0419278727636,185.2036914950428,186.52021132106103,2198074
2021-04-09,194.043212890625,194.59888814380167,190.9057632040234,194.48776416542725,4097476
2021-04-12,195.42813110351562,195.96669967497837,192.82925021345346,192.89764910020517,2822366
2021-04-13,195.77011108398438,196.5822614744188,194.57325496327528,195.94963396595992,2917644
2021-04-14,196.094970703125,197.47133586171324,194.9152212298625,194.9152212298625,2319877
2021-04-15,196.48818969726562,197.23194109021796,195.40248539081313,196.8216031301478,2131973
2021-04-16,198.42881774902344,198.63398675046275,196.66773307213842,198.06120483434253,4348084
2021-04-19,197.4542236328125,198.428804002788,197.05242513927752,198.0868372369769,3081568
2021-04-20,194.3424530029297,196.78744382174904,193.0173661624162,196.62501373265172,2175687
2021-04-21,197.0524444580078,197.19778173175874,194.00048627218112,194.17145583152262,1827466
2021-04-22,195.99237060546875,198.36040884534037,195.59911158545253,196.96693715345359,2669688
2021-04-23,191.92306518554688,194.01754922779318,189.97391839469242,192.5214931519958,5634334
2021-04-26,189.3755340576172,192.9831816483418,189.15325838909996,192.85493716861077,3831695
2021-04-27,190.58091735839844,191.28192992866386,189.025015460588,189.80296640949322,2956477
2021-04-28,190.52963256835938,191.61535091467476,190.21332571923142,190.41849473697332,2300142
2021-04-29,191.41017150878906,191.63244717557006,189.51231653946482,191.24774142003798,1898872
2021-04-30,190.67495727539062,191.13658753486757,188.9651648257593,190.65785063148846,2352131
2021-05-03,190.8117218017578,192.16244067587147,190.00812482995875,191.7007966230597,2354041
2021-05-04,192.7181396484375,192.86346307232455,188.71724738556674,189.90553626220185,2999447
2021-05-05,193.3678741455078,194.29116243262987,193.0002750313426,193.4533658521418,2879448
2021-05-06,195.47943115234375,195.6162150909827,192.7352267389491,194.2740356683932,2178127
2021-05-07,195.59056091308594,196.36852564225106,193.52173665074574,195.02634617995759,2076483
2021-05-10,197.42861938476562,198.8904902497972,195.7701328120479,195.7701328120479,2537488
2021-05-11,195.90689086914062,195.99238256741958,191.7093688944862,194.96650986872552,3586392
2021-05-12,188.1102752685547,194.2825904337971,187.98204464109435,193.7525612800766,4453123
2021-05-13,192.0337371826172,193.05537465872482,187.79265738240727,187.86992233029693,3081887
2021-05-14,195.19309997558594,195.940008394506,193.04680502509208,193.8023030715177,2208259
2021-05-17,194.42897033691406,195.62231674337704,192.94374344714464,195.62231674337704,2183644
2021-05-18,190.86611938476562,194.0168857270252,190.78884055401969,193.48459303258693,2546824
2021-05-19,190.0076446533203,190.13643347711147,186.10996890442286,189.44961071349823,3236262
2021-05-20,190.7030029296875,191.35546699612914,189.27786173605708,189.29502708812353,2342476
2021-05-21,191.62164306640625,193.70783819993727,191.15803951481976,191.44993392905653,2413351
2021-05-24,193.16697692871094,193.6134151428835,191.5958952494147,192.73771796835896,1924124
2021-05-25,192.34278869628906,193.77651962824018,191.78475487093345,193.16696194449227,1914681
2021-05-26,192.54025268554688,193.1584000397735,191.71607937836566,193.13263115919753,1854416
2021-05-27,198.54991149902344,198.95341548668557,194.53203697753153,194.6178776522517,7052361
2021-05-28,198.2407989501953,199.38263536974617,197.72568550749185,199.17658165322266,2683587
2021-06-01,199.9921875,200.62748622989153,198.75592074518835,199.9406775434721,2370274
2021-06-02,198.0948944091797,200.91084674776087,197.88885454014155,200.91084674776087,2361149
2021-06-03,196.77276611328125,198.86756493977458,196.14605689995423,198.06913267631103,2462899
2021-06-04,197.50250244140625,198.10347055062087,196.764183694899,197.25354224962467,1379300
2021-06-07,195.90565490722656,197.76863092418998,195.33903143828132,197.0389018451171,2156376
2021-06-08,197.29644775390625,198.1635552436806,195.26176264141196,196.00867095875068,1825557
2021-06-09,195.57940673828125,197.80296627656628,195.39910798450336,197.30503204482923,2093777
2021-06-10,194.24012756347656,197.51109368296343,194.15428688923515,196.7040857121401,2359240
2021-06-11,193.32150268554688,196.0258311037018,192.27409646494996,195.5278968717306,2120515
2021-06-14,191.5958709716797,193.12403212093153,191.21812202250993,193.0982771425368,2743852
2021-06-15,191.0206756591797,192.18826721932135,190.3080980256419,191.4670999591641,2188843
2021-06-16,188.0072479248047,191.36405409392526,187.67241932090297,191.02064976363886,3238490
2021-06-17,185.6892547607422,189.04606111766577,184.3499541692759,188.18754329438315,2573349
2021-06-18,182.43548583984375,184.83076877014352,181.97189614276007,183.37985838791445,5757304
2021-06-21,185.44029235839844,186.6679695870964,184.01515101426583,184.35855538535358,3047616
2021-06-22,185.00244140625,186.12709869901764,184.4787521794358,185.1655609127496,2239665
2021-06-23,184.28982543945312,185.7578866826242,184.20397089736412,185.15691878706895,2370486
2021-06-24,186.8911895751953,187.19167361348374,184.2812913241378,185.26000838043637,3569522
2021-06-25,187.79266357421875,189.0203409518439,186.58215155255508,187.04574125517837,5537465
2021-06-28,186.1185302734375,188.9688130367471,185.69784705113736,188.11888476358973,2504278
2021-06-29,185.39736938476562,187.46639910738418,184.94234157318914,186.32456256340987,3185016
2021-06-30,188.31634521484375,188.75419381525978,185.03680332345382,185.03680332345382,3041144
