Date,Open,High,Low,Close,Volume
2021-05-07,34.134209680766865,35.464766125550526,34.0839988592155,35.439659118652344,4830900
2021-05-10,35.95013212602369,36.03381684605489,35.33924803490139,35.347618103027344,6068700
2021-05-11,35.10493527865755,35.824607870241124,34.58610281189202,34.83715057373047,5227200
2021-05-12,35.36433199474694,35.48149053699627,34.15093456205281,34.25971984863281,6785000
2021-05-13,34.00868217648518,35.33087166756795,33.97520829746528,35.13003158569336,6146900
2021-05-14,35.30577687011903,35.77440176170309,35.1886214452845,35.682350158691406,3680600
2021-05-17,35.464766718552795,35.91665135109099,35.322504317901014,35.89991760253906,4000600
2021-05-18,35.85807551175324,36.00870479448309,35.13003610672247,35.1551399230957,3379800
2021-05-19,34.669778152881996,34.89572205592062,34.15931265256267,34.887351989746094,4940600
2021-05-20,34.80366311070413,34.98776622061524,34.40198621000698,34.75345230102539,3347100
2021-05-21,34.929192663252145,35.448024988886324,34.84550797057268,35.07981872558594,5364100
2021-05-24,35.26392301526393,35.26392301526393,34.862246053945746,35.03797912597656,4091400
2021-05-25,35.14676942003193,35.58192028163505,34.42709696400543,34.52751541137695,5847000
2021-05-26,34.653035482561116,34.99613471734907,34.35177699499229,34.870609283447266,4609900
2021-05-27,35.322513580322266,35.540090675491925,35.07146578702687,35.322513580322266,4671700
2021-05-28,35.32250133674257,35.330871402557165,34.745091293081984,35.26392364501953,4053900
2021-06-01,35.50660688072083,35.79112848502189,35.2137184022837,35.439659118652344,3459000
2021-06-02,35.48150262810249,35.54008032306686,35.02124475017533,35.280662536621094,3731400
2021-06-03,35.25556899182491,35.79113846878732,35.10493967739849,35.322513580322266,2999500
2021-06-04,35.305762882734484,35.381077510610915,34.8120343649322,35.180240631103516,4503200
2021-06-07,35.25555641375158,35.35597485679442,34.979401705077834,35.13840103149414,2638200
2021-06-08,34.73672015967251,34.97103411160806,34.18441394594067,34.87898254394531,5080000
2021-06-09,34.48567821379538,34.6279406217995,34.134212015629686,34.43547058105469,3713700
2021-06-10,34.979411025723834,35.02962185674685,33.7158021046444,33.80785369873047,4597000
2021-06-11,33.891529876968725,34.284840010639634,33.80784836404709,33.95010757446289,3625600
2021-06-14,33.799475285788,34.025419181238355,32.87059589079592,33.088172912597656,3909200
2021-06-15,33.180223786296324,33.74089688406417,33.00448752092238,33.52332305908203,3632200
2021-06-16,33.39780312405039,34.15931642555335,32.954285335159895,33.933372497558594,5889500
2021-06-17,34.28483593680254,34.30993974924709,31.774352540516166,31.824560165405273,6222900
2021-06-18,31.389413120510252,31.523305456803804,30.711584564631373,30.887317657470703,11729100
2021-06-21,31.196941890867127,31.665566646055357,30.97936804982133,31.62372589111328,10710100
2021-06-22,31.556768382862305,31.958445252286275,31.288983803246325,31.75760841369629,6271700
2021-06-23,31.816194310940208,32.050505080579256,31.673931920627346,31.73250961303711,4411000
2021-06-24,31.89150921116527,32.435445387008706,31.606987620391298,32.29318618774414,3782700
2021-06-25,32.510767087150995,33.1634951092025,32.309930151324025,33.05470657348633,6591500
2021-06-28,32.912439106059026,33.037961361474125,32.226237369028574,32.368499755859375,3681900
2021-06-29,32.59603418985323,32.857275536362295,32.03141662538127,32.09883499145508,2795400
2021-06-30,32.04826944262015,32.37692592232308,32.031414852034814,32.21681213378906,3256500
2021-07-01,32.444346927105904,32.7224428723869,32.28423312553136,32.64659881591797,2916200
2021-07-02,32.730861274693545,32.756141549660555,32.25894244897735,32.393775939941406,2709400
2021-07-06,32.21680772096031,32.28422607406717,31.23926410369891,31.449941635131836,4090300
2021-07-07,31.180275987741105,31.567921890659097,31.062297079434252,31.23926544189453,3754700
2021-07-08,30.699933489534278,31.138143188522506,30.39655729679748,30.801057815551758,8073400
2021-07-09,31.43309587130342,32.124118111224526,31.188709094708535,32.09041213989258,4142400
2021-07-12,31.660624266112283,32.478054248433594,31.374102648626376,32.351646423339844,3587800
2021-07-13,32.36850808260691,32.39378836727227,31.567932516456253,31.66063117980957,4171400
2021-07-14,31.719620189638547,32.15783000064184,30.99488870277484,31.500516891479492,3631200
2021-07-15,31.323545843580494,32.04827734400765,31.096016851293125,31.829174041748047,3386300
2021-07-16,31.820741189689855,31.947149027222235,30.58195916942284,30.674657821655273,3583000
2021-07-19,29.91621091518914,30.152168733145217,28.94709293769667,29.183053970336914,7391000
2021-07-20,29.098787463305143,30.68308382721558,28.963953935399037,30.303863525390625,5561800
2021-07-21,30.58195579140404,31.374102270344878,30.55667229787942,31.07915496826172,7176300
2021-07-22,30.6830780773654,31.087578585282422,30.05104543099175,30.354421615600586,6109700
2021-07-23,30.548246939712854,30.9274671998324,29.9752037054621,30.152172088623047,4253300
2021-07-26,30.32071146175084,30.843190865848776,30.244867418036286,30.60723304748535,5476800
2021-07-27,30.05104824833657,30.79263418971839,29.84879636807441,30.657800674438477,4168300
2021-07-28,30.55667793297731,31.062306105816578,30.22802138870858,30.716794967651367,4898100
2021-07-29,31.112865222816687,31.289836843139526,30.666229756772942,30.876907348632812,4189500
2021-07-30,30.801063963989414,31.222419156970624,30.447127144934,30.581960678100586,8250800
2021-08-02,30.868477329343737,31.50051001626495,30.37970384174278,30.404987335205078,6345100
2021-08-03,30.733650161461377,31.112867280136705,29.907794332523654,31.045452117919922,4375400
2021-08-04,30.826343703467913,31.171854791003327,30.42183993859681,30.649372100830078,3952900
2021-08-05,30.83476140518024,31.23926185059514,30.801052231058055,31.16341781616211,3516200
2021-08-06,31.61849135297751,32.081981382534394,31.55950188819853,31.795459747314453,4426100
2021-08-09,31.728037108378047,32.01455867599997,31.331962325719623,31.652193069458008,4638400
2021-08-10,31.643764156384236,32.29265133030815,31.559494430808233,32.15781784057617,4021300
2021-08-11,32.32636893129747,32.671880039700405,31.913439453116023,32.604461669921875,5230700
